"path","animation","frame","rect","finding","width","height","alphaType","alpha0Ratio","alphaPartialRatio","alpha255Ratio","partialVisibleRatio","minAlpha","maxAlpha","meanAlpha","visibleBounds"
"assets/monsters/black_forest/mountain_wolf.png","attack-5","","0,397,49,30","","49","30","binary","0.535374149659864","0.0","0.46462585034013604","0.0","0","255","118.4795918367347","0,397,49,30"
"assets/monsters/black_forest/mountain_wolf.png","attack-5","","721,428,46,28","","46","28","binary","0.4588509316770186","0.0","0.5411490683229814","0.0","0","255","137.99301242236024","721,428,46,28"
"assets/monsters/black_forest/mountain_wolf.png","attack-5","","972,397,45,29","","45","29","binary","0.4697318007662835","0.0","0.5302681992337165","0.0","0","255","135.2183908045977","972,397,45,29"
"assets/monsters/black_forest/mountain_wolf.png","attack-6","","866,186,36,37","","36","37","binary","0.5653153153153153","0.0","0.4346846846846847","0.0","0","255","110.8445945945946","866,186,36,37"
"assets/monsters/black_forest/mountain_wolf.png","attack-6","","674,225,35,36","","35","36","binary","0.5452380952380952","0.0","0.45476190476190476","0.0","0","255","115.96428571428571","674,225,35,36"
"assets/monsters/black_forest/mountain_wolf.png","attack-6","","267,332,35,32","","35","32","binary","0.5142857142857142","0.0","0.4857142857142857","0.0","0","255","123.85714285714286","267,332,35,32"
"assets/monsters/black_forest/mountain_wolf.png","attack-6","","957,0,36,41","","36","41","binary","0.6097560975609756","0.0","0.3902439024390244","0.0","0","255","99.51219512195122","957,0,36,41"
"assets/monsters/black_forest/mountain_wolf.png","attack-6","","161,0,40,45","","40","45","binary","0.6566666666666666","0.0","0.3433333333333333","0.0","0","255","87.55","161,0,40,45"
"assets/monsters/black_forest/mountain_wolf.png","attack-6","","770,0,40,42","","40","42","binary","0.6488095238095238","0.0","0.35119047619047616","0.0","0","255","89.55357142857143","770,0,40,42"
"assets/monsters/black_forest/mountain_wolf.png","attack-6","","0,144,42,41","","42","41","binary","0.648664343786295","0.0","0.351335656213705","0.0","0","255","89.59059233449477","0,144,42,41"
"assets/monsters/black_forest/mountain_wolf.png","attack-6","","330,186,35,38","","35","38","binary","0.5646616541353383","0.0","0.43533834586466164","0.0","0","255","111.01127819548873","330,186,35,38"
